iter	Passed	Remaining
401	21035	5128
402	21095	5077
403	21158	5027
404	21212	4975
405	21266	4923
406	21322	4872
407	21386	4822
408	21453	4773
409	21517	4723
410	21580	4673
411	21642	4622
412	21703	4571
413	21769	4522
414	21835	4472
415	21898	4421
416	21970	4373
417	22036	4322
418	22099	4272
419	22171	4223
420	22229	4171
421	22282	4118
422	22337	4066
423	22397	4014
424	22450	3961
425	22505	3909
426	22553	3855
427	22601	3802
428	22654	3749
429	22703	3695
430	22752	3642
431	22799	3588
432	22847	3535
433	22899	3482
434	22953	3429
435	23001	3376
436	23050	3323
437	23099	3269
438	23148	3216
439	23196	3163
440	23243	3109
441	23288	3055
442	23334	3002
443	23382	2949
444	23430	2895
445	23481	2843
446	23530	2789
447	23579	2736
448	23625	2683
449	23671	2630
450	23720	2577
451	23865	2534
452	23919	2481
453	23980	2429
454	24024	2376
455	24075	2323
456	24130	2270
457	24179	2217
458	24236	2164
459	24304	2113
460	24361	2060
461	24420	2008
462	24480	1956
463	24533	1903
464	24595	1851
465	24659	1799
466	24721	1746
467	24782	1694
468	24844	1642
469	24905	1589
470	24981	1538
471	25041	1485
472	25103	1432
473	25157	1379
474	25212	1326
475	25272	1274
476	25329	1221
477	25384	1168
478	25439	1115
479	25496	1062
480	25559	1009
481	25614	956
482	25669	903
483	25730	850
484	25792	797
485	25834	744
486	25898	691
487	25944	637
488	26003	584
489	26069	532
490	26126	478
491	26192	425
492	26250	372
493	26310	319
494	26373	266
495	26438	213
496	26498	159
497	26557	106
498	26614	53
499	26679	0
